unemp_2010,unemp_2011,unemp_2012,unemp_2013,unemp_2014,unemp_2015,unemp_2016,unemp_2017,unemp_2018,unemp_2019,unemp_2020,unemp_2021,id
5.2 ,4.9 ,5.2,5.7,6.0 ,6.1 ,6.5 ,5.9 ,5.2 ,4.8,6.0 ,6.2 ,AT
8.4 ,7.2 ,7.6,8.6,8.7 ,8.7 ,7.9 ,7.2 b,6.0 ,5.5,5.8 ,6.3 ,BE
11.3 b,12.3 b,13.3,13.9,12.4 ,10.1 ,8.6 ,7.2 ,6.2 ,5.2,6.1 ,5.3 ,BG
4.8 b,4.4 ,4.5,4.8,4.9 ,4.8 ,5.0 ,4.8 ,4.7 ,4.4,4.8 ,5.1 ,CH
6.3 ,7.9 ,11.9,15.9,16.1 ,15.0 ,13.0 ,11.1 ,8.4 ,7.1,7.6 ,7.5 ,CY
7.3 ,6.7 b,7.0,7.0,6.1 ,5.1 ,4.0 ,2.9 ,2.2 ,2.0,2.6 ,2.8 ,CZ
6.6 b,5.5 b,5.1,5.0,4.7 ,4.4 ,3.9 ,3.6 ,3.2 ,3.0,3.7 b,3.6 ,DE
7.7 ,7.8 ,7.8,7.4,6.9 ,6.3 ,6.0 b,5.8 b,5.1 ,5.0,5.6 ,5.1 ,DK
10.3 ,10.3 ,11.5,12.1,11.7 ,10.9 ,10.1 ,9.1 ,8.2 ,7.6,8.0 ,7.7 ,EA19
16.6 ,12.3 ,9.9,8.6,7.3 ,6.4 ,6.8 ,5.8 ,5.4 ,4.5,6.9 ,6.2 ,EE
12.9 ,18.1 ,24.8,27.8,26.6 ,25.0 ,23.9 ,21.8 ,19.7 ,17.9,17.6 ,14.7 ,EL
19.9 ,21.4 ,24.8,26.1,24.5 ,22.1 ,19.6 ,17.2 ,15.3 ,14.1,15.5 ,14.8 d,ES
10.1 ,10.1 ,11.1,11.6,11.0 ,10.2 ,9.3 ,8.3 ,7.4 ,6.8,7.2 ,7.0 ,EU27_2020
8.6 ,8.0 ,7.9,8.3,8.7 ,9.4 ,8.9 ,8.7 ,7.5 ,6.8,7.7 ,7.7 ,FI
9.3 ,9.2 ,9.8,10.3,10.3 ,10.3 ,10.1 ,9.4 ,9.0 ,8.4,8.0 ,7.9 d,FR
11.7 ,13.7 ,16.0,17.3,17.3 ,16.2 ,13.1 ,11.2 ,8.5 ,6.6,7.5 ,7.6 ,HR
10.8 ,10.7 ,10.7,9.8,7.5 ,6.6 ,5.0 ,4.0 ,3.6 ,3.3,4.1 ,4.1 ,HU
14.6 ,15.4 ,15.5,13.8,11.9 ,9.9 ,8.4 ,6.7 ,5.8 ,5.0,5.9 ,6.2 ,IE
7.6 ,7.0 ,6.0,5.4,4.9 ,4.0 ,3.0 ,2.7 ,2.7 ,3.5,5.5 b,6.0 ,IS
8.5 ,8.5 ,10.9,12.4,12.9 ,12.0 ,11.7 ,11.3 ,10.6 ,9.9,9.3 ,9.5 ,IT
17.8 ,15.4 ,13.4,11.8,10.7 ,9.1 ,7.9 ,7.1 ,6.2 ,6.3,8.5 ,7.1 ,LT
4.4 ,4.9 ,5.1,5.9,5.9 ,6.7 b,6.3 ,5.5 ,5.6 ,5.6,6.8 ,5.3 ,LU
19.7 ,16.3 ,15.1,11.9,10.9 ,9.9 ,9.7 ,8.7 ,7.4 ,6.3,8.1 ,7.6 ,LV
: ,19.7 ,20.0,19.5,18.0 ,17.6 ,17.8 ,16.1 ,15.2 ,15.2,17.9 ,: ,ME
32.0 ,31.4 ,31.0,29.0,28.0 ,26.1 ,23.7 ,22.4 ,20.8 ,17.3,16.4 ,: ,MK
6.9 ,6.4 ,6.2,6.1,5.7 ,5.4 ,4.7 ,4.0 ,3.7 ,3.6,4.4 ,3.5 ,MT
6.1 ,6.0 ,6.8,8.2,8.4 ,7.9 ,7.0 ,5.9 ,4.9 ,4.4,4.9 ,4.2 ,NL
3.5 ,3.2 ,3.1,3.4,3.5 ,4.3 ,4.7 ,4.2 ,3.8 ,3.7,4.4 ,4.4 b,NO
10.0 b,10.0 ,10.4,10.6,9.2 ,7.7 ,6.3 ,5.0 ,3.9 ,3.3,3.2 ,3.4 ,PL
12.6 ,13.5 ,16.6,17.2,14.6 ,13.0 ,11.5 ,9.2 ,7.2 ,6.7,7.0 ,6.6 ,PT
9.0 ,9.1 ,8.7,9.0,8.6 ,8.4 ,7.2 ,6.1 ,5.3 ,4.9,6.1 ,5.6 ,RO
21.1 ,25.0 ,26.0,24.2,20.7 ,19.0 ,16.5 ,14.6 ,13.8 ,11.3,9.8 ,11.1 ,RS
8.8 ,8.0 ,8.1,8.2,8.1 ,7.6 ,7.1 ,6.8 ,6.5 b,7.0,8.5 ,8.8 ,SE
7.3 ,8.2 ,8.9,10.1,9.7 ,9.0 ,8.0 ,6.6 ,5.1 ,4.4,5.0 ,4.8 ,SI
14.3 ,13.5 b,13.9,14.1,13.1 ,11.5 ,9.6 ,8.1 ,6.5 ,5.7,6.7 ,6.8 ,SK
10.7 ,8.8 ,8.2,8.8,9.9 b,10.3 ,10.9 ,10.9 ,10.9 ,13.7,13.2 ,: ,TR
